"vp";"nodd";"rfpbase";"audiofreq";"N";"p";"RT"
"S07";"1";"1,5";"2400";"16";"1,000000000000000";"1,213760539889336"
"S07";"3";"0,5";"2000";"16";"0,187500000000000";"1,104403406381607"
"S07";"3";"0,5";"2200";"16";"0,250000000000000";"1,333285018801689"
"S07";"3";"0,5";"2400";"16";"0,000000000000000";"1,229102090001106"
"S07";"3";"1,5";"2000";"16";"1,000000000000000";"1,204929158091545"
"S07";"3";"1,5";"2200";"16";"0,937500000000000";"1,084097012877464"
"S07";"3";"1,5";"2400";"16";"0,875000000000000";"1,121611282229424"
"S07";"5";"0,5";"2000";"16";"0,250000000000000";"1,262937873601913"
"S07";"5";"0,5";"2200";"16";"0,125000000000000";"1,222118213772774"
"S07";"5";"0,5";"2400";"16";"0,312500000000000";"1,276893302798271"
"S07";"5";"1,5";"2000";"16";"1,000000000000000";"1,159110084176064"
"S07";"5";"1,5";"2200";"16";"0,937500000000000";"1,249961435794830"
"S07";"5";"1,5";"2400";"16";"1,000000000000000";"1,155083686113358"
"S07";"7";"0,5";"2000";"16";"0,250000000000000";"1,325428247451782"
"S07";"7";"0,5";"2200";"16";"0,125000000000000";"1,398034185171127"
"S07";"7";"0,5";"2400";"16";"0,437500000000000";"1,362680971622467"
"S07";"7";"1,5";"2000";"16";"1,000000000000000";"1,230265364050865"
"S07";"7";"1,5";"2200";"16";"0,937500000000000";"1,367002472281456"
"S07";"7";"1,5";"2400";"16";"0,937500000000000";"1,187646806240082"
"S07";"9";"0,5";"2000";"16";"0,125000000000000";"1,287813067436218"
"S07";"9";"0,5";"2200";"16";"0,312500000000000";"1,415216907858849"
"S07";"9";"0,5";"2400";"16";"0,187500000000000";"1,379614010453224"
"S07";"9";"1,5";"2000";"16";"1,000000000000000";"1,133807629346848"
"S07";"9";"1,5";"2200";"16";"0,937500000000000";"1,481453195214272"
"S07";"9";"1,5";"2400";"16";"0,937500000000000";"1,221991658210754"
"S07";"11";"0,5";"2000";"16";"0,187500000000000";"1,238959431648254"
"S07";"11";"0,5";"2200";"16";"0,187500000000000";"1,310649946331978"
"S07";"11";"0,5";"2400";"16";"0,125000000000000";"1,363164603710175"
"S07";"11";"1,5";"2000";"16";"0,812500000000000";"1,400712192058563"
"S07";"11";"1,5";"2200";"16";"1,000000000000000";"1,340865120291710"
"S07";"11";"1,5";"2400";"16";"0,937500000000000";"1,380718350410461"
"S08";"1";"0,5";"2000";"16";"0,500000000000000";"1,746489077806473"
"S08";"1";"0,5";"2200";"16";"0,312500000000000";"1,043769448995590"
"S08";"1";"0,5";"2400";"16";"0,312500000000000";"1,073656439781189"
"S08";"1";"1,5";"2000";"16";"0,937500000000000";"1,132574543356895"
"S08";"1";"1,5";"2200";"16";"1,000000000000000";"1,424947932362556"
"S08";"1";"1,5";"2400";"16";"0,812500000000000";"1,234602347016335"
"S08";"3";"0,5";"2000";"16";"0,500000000000000";"1,184422537684441"
"S08";"3";"0,5";"2200";"16";"0,500000000000000";"1,071437507867813"
"S08";"3";"0,5";"2400";"16";"0,375000000000000";"1,547524124383926"
"S08";"3";"1,5";"2000";"16";"1,000000000000000";"1,539101883769035"
"S08";"3";"1,5";"2200";"16";"0,750000000000000";"1,153653308749199"
"S08";"3";"1,5";"2400";"16";"0,750000000000000";"1,722939506173134"
"S08";"5";"0,5";"2000";"16";"0,437500000000000";"1,245584249496460"
"S08";"5";"0,5";"2200";"16";"0,375000000000000";"1,111884951591492"
"S08";"5";"0,5";"2400";"16";"0,437500000000000";"1,267501294612885"
"S08";"5";"1,5";"2000";"16";"0,875000000000000";"1,327295675873756"
"S08";"5";"1,5";"2200";"16";"0,875000000000000";"1,473590999841690"
"S08";"5";"1,5";"2400";"16";"0,812500000000000";"1,352801129221916"
"S08";"7";"0,5";"2000";"16";"0,375000000000000";"1,071441903710365"
"S08";"7";"0,5";"2200";"16";"0,625000000000000";"1,236131832003593"
"S08";"7";"0,5";"2400";"16";"0,687500000000000";"1,452311530709267"
"S08";"7";"1,5";"2000";"16";"0,875000000000000";"1,160561695694923"
"S08";"7";"1,5";"2200";"16";"0,750000000000000";"0,993431732058525"
"S08";"7";"1,5";"2400";"16";"0,937500000000000";"1,158501639962196"
"S08";"9";"0,5";"2000";"16";"0,437500000000000";"1,491517513990402"
"S08";"9";"0,5";"2200";"16";"0,312500000000000";"1,259569928050041"
"S08";"9";"0,5";"2400";"16";"0,375000000000000";"2,195862069725990"
"S08";"9";"1,5";"2000";"16";"0,937500000000000";"1,186356157064438"
"S08";"9";"1,5";"2200";"16";"0,875000000000000";"1,197467982769012"
"S08";"9";"1,5";"2400";"16";"0,875000000000000";"1,397722005844116"
"S08";"11";"0,5";"2000";"16";"0,562500000000000";"1,228117749094963"
"S08";"11";"0,5";"2200";"16";"0,375000000000000";"1,172333478927612"
"S08";"11";"0,5";"2400";"16";"0,625000000000000";"1,208902716636658"
"S08";"11";"1,5";"2000";"16";"0,937500000000000";"1,021573364734650"
"S08";"11";"1,5";"2200";"16";"0,937500000000000";"1,218005165457726"
"S08";"11";"1,5";"2400";"16";"0,875000000000000";"1,191318675875664"
"S09";"1";"0,5";"2000";"16";"0,187500000000000";"1,513185277581215"
"S09";"1";"0,5";"2200";"16";"0,250000000000000";"1,372736290097237"
"S09";"1";"0,5";"2400";"16";"0,437500000000000";"1,404180243611336"
"S09";"1";"1,5";"2000";"16";"0,937500000000000";"1,212930962443352"
"S09";"1";"1,5";"2200";"16";"0,937500000000000";"1,327029153704643"
"S09";"1";"1,5";"2400";"16";"0,875000000000000";"1,324329510331154"
"S09";"3";"0,5";"2000";"16";"0,250000000000000";"1,386151835322380"
"S09";"3";"0,5";"2200";"16";"0,187500000000000";"1,185546934604645"
"S09";"3";"0,5";"2400";"16";"0,437500000000000";"1,515943884849548"
"S09";"3";"1,5";"2000";"16";"0,812500000000000";"1,305103361606598"
"S09";"3";"1,5";"2200";"16";"0,937500000000000";"1,131206125020981"
"S09";"3";"1,5";"2400";"16";"0,750000000000000";"1,585340440273285"
"S09";"5";"0,5";"2000";"16";"0,375000000000000";"1,063572689890862"
"S09";"5";"0,5";"2200";"16";"0,062500000000000";"1,157818242907524"
"S09";"5";"0,5";"2400";"16";"0,312500000000000";"1,219921514391899"
"S09";"5";"1,5";"2000";"16";"0,875000000000000";"1,280831620097160"
"S09";"5";"1,5";"2200";"16";"1,000000000000000";"1,181490451097488"
"S09";"5";"1,5";"2400";"16";"0,937500000000000";"1,156887277960777"
"S09";"7";"0,5";"2000";"16";"0,562500000000000";"1,706458151340485"
"S09";"7";"0,5";"2200";"16";"0,437500000000000";"1,268300786614418"
"S09";"7";"0,5";"2400";"16";"0,500000000000000";"1,279506623744965"
"S09";"7";"1,5";"2000";"16";"1,000000000000000";"1,110782861709595"
"S09";"7";"1,5";"2200";"16";"1,000000000000000";"1,030326083302498"
"S09";"7";"1,5";"2400";"16";"0,937500000000000";"1,234868839383125"
"S09";"9";"0,5";"2000";"16";"0,437500000000000";"1,281447142362595"
"S09";"9";"0,5";"2200";"16";"0,250000000000000";"1,346442669630051"
"S09";"9";"0,5";"2400";"16";"0,312500000000000";"1,219648689031601"
"S09";"9";"1,5";"2000";"16";"1,000000000000000";"1,132145658135414"
"S09";"9";"1,5";"2200";"16";"0,937500000000000";"1,188680663704872"
"S09";"9";"1,5";"2400";"16";"1,000000000000000";"1,204051241278648"
"S09";"11";"0,5";"2000";"16";"0,375000000000000";"1,156697884202003"
"S09";"11";"0,5";"2200";"16";"0,375000000000000";"1,117682218551636"
"S09";"11";"0,5";"2400";"16";"0,437500000000000";"1,109940648078918"
"S09";"11";"1,5";"2000";"16";"0,937500000000000";"1,686192408204079"
"S09";"11";"1,5";"2200";"16";"0,937500000000000";"1,203628376126289"
"S09";"11";"1,5";"2400";"16";"0,812500000000000";"1,222623541951180"
"S11";"1";"0,5";"2000";"16";"0,375000000000000";"1,758173823356628"
"S11";"1";"0,5";"2200";"16";"0,125000000000000";"1,147960707545280"
"S11";"1";"0,5";"2400";"16";"0,312500000000000";"1,569545418024063"
"S11";"1";"1,5";"2000";"16";"1,000000000000000";"1,092768669128418"
"S11";"1";"1,5";"2200";"16";"0,812500000000000";"1,202093377709389"
"S11";"1";"1,5";"2400";"16";"0,875000000000000";"1,235420331358910"
"S11";"3";"0,5";"2000";"16";"0,312500000000000";"1,377797260880470"
"S11";"3";"0,5";"2200";"16";"0,250000000000000";"1,754059836268425"
"S11";"3";"0,5";"2400";"16";"0,562500000000000";"1,171402022242546"
"S11";"3";"1,5";"2000";"16";"0,750000000000000";"1,411202356219292"
"S11";"3";"1,5";"2200";"16";"0,937500000000000";"1,506828412413597"
"S11";"3";"1,5";"2400";"16";"0,625000000000000";"1,693446233868599"
"S11";"5";"0,5";"2000";"16";"0,562500000000000";"2,383556365966797"
"S11";"5";"0,5";"2200";"16";"0,125000000000000";"1,428912401199341"
"S11";"5";"0,5";"2400";"16";"0,312500000000000";"1,179001212120056"
"S11";"5";"1,5";"2000";"16";"0,937500000000000";"1,873115539550781"
"S11";"5";"1,5";"2200";"16";"0,937500000000000";"1,271965831518173"
"S11";"5";"1,5";"2400";"16";"0,937500000000000";"1,118551015853882"
"S11";"7";"0,5";"2000";"16";"0,437500000000000";"1,837895810604095"
"S11";"7";"0,5";"2200";"16";"0,312500000000000";"1,167036518454552"
"S11";"7";"0,5";"2400";"16";"0,375000000000000";"1,428930580615997"
"S11";"7";"1,5";"2000";"16";"1,000000000000000";"1,094692260026932"
"S11";"7";"1,5";"2200";"16";"0,875000000000000";"1,310027256608009"
"S11";"7";"1,5";"2400";"16";"0,750000000000000";"1,396707355976105"
"S11";"9";"0,5";"2000";"16";"0,250000000000000";"1,382055953145027"
"S11";"9";"0,5";"2200";"16";"0,312500000000000";"1,169297412037849"
"S11";"9";"0,5";"2400";"16";"0,250000000000000";"1,361061409115791"
"S11";"9";"1,5";"2000";"16";"0,937500000000000";"1,226047113537788"
"S11";"9";"1,5";"2200";"16";"0,875000000000000";"1,263795986771584"
"S11";"9";"1,5";"2400";"16";"0,812500000000000";"1,224967777729034"
"S11";"11";"0,5";"2000";"16";"0,250000000000000";"2,132823407649994"
"S11";"11";"0,5";"2200";"16";"0,500000000000000";"1,465514451265335"
"S11";"11";"0,5";"2400";"16";"0,500000000000000";"1,409424051642418"
"S11";"11";"1,5";"2000";"16";"0,875000000000000";"1,294673040509224"
"S11";"11";"1,5";"2200";"16";"1,000000000000000";"1,282830521464348"
"S11";"11";"1,5";"2400";"16";"0,875000000000000";"1,181361094117165"
"S12";"1";"0,5";"2000";"16";"0,000000000000000";"1,641220390796661"
"S12";"1";"0,5";"2200";"16";"0,187500000000000";"1,131771445274353"
"S12";"1";"0,5";"2400";"16";"0,000000000000000";"1,081124246120453"
"S12";"1";"1,5";"2000";"16";"0,875000000000000";"1,176262885332108"
